Prompt ID,Prompt,LLM,Mitigation,Hallucinated?,Notes
1,Contract R-9427-A of 2022,Claude 3,None,Yes,
1,Contract R-9427-A of 2022,Claude 3,Disclaimer,Yes,
1,Contract R-9427-A of 2022,Claude 3,Citations,No,
1,Contract R-9427-A of 2022,Claude 3,Break into Parts,No,
1,Contract R-9427-A of 2022,Gemini 1.5,None,No,
1,Contract R-9427-A of 2022,Gemini 1.5,Disclaimer,No,
1,Contract R-9427-A of 2022,Gemini 1.5,Citations,No,
1,Contract R-9427-A of 2022,Gemini 1.5,Break into Parts,No,
2,Federal Government Procurement Innovation Act of 2024,Claude 3,None,Yes,
2,Federal Government Procurement Innovation Act of 2024,Claude 3,Disclaimer,Yes,
2,Federal Government Procurement Innovation Act of 2024,Claude 3,Citations,No,
2,Federal Government Procurement Innovation Act of 2024,Claude 3,Break into Parts,No,
2,Federal Government Procurement Innovation Act of 2024,Gemini 1.5,None,No,
2,Federal Government Procurement Innovation Act of 2024,Gemini 1.5,Disclaimer,No,
2,Federal Government Procurement Innovation Act of 2024,Gemini 1.5,Citations,No,
2,Federal Government Procurement Innovation Act of 2024,Gemini 1.5,Break into Parts,No,
3,2023 NASA Homeland Infrastructure Modernization Program (NHIMP),Claude 3,None,Yes,
3,2023 NASA Homeland Infrastructure Modernization Program (NHIMP),Claude 3,Disclaimer,Yes,
3,2023 NASA Homeland Infrastructure Modernization Program (NHIMP),Claude 3,Citations,No,
3,2023 NASA Homeland Infrastructure Modernization Program (NHIMP),Claude 3,Break into Parts,No,
3,2023 NASA Homeland Infrastructure Modernization Program (NHIMP),Gemini 1.5,None,No,
3,2023 NASA Homeland Infrastructure Modernization Program (NHIMP),Gemini 1.5,Disclaimer,No,
3,2023 NASA Homeland Infrastructure Modernization Program (NHIMP),Gemini 1.5,Citations,No,
3,2023 NASA Homeland Infrastructure Modernization Program (NHIMP),Gemini 1.5,Break into Parts,No,
4,Cybersecurity provisions added to the FAR in April 2025,Claude 3,None,Yes,
4,Cybersecurity provisions added to the FAR in April 2025,Claude 3,Disclaimer,Yes,
4,Cybersecurity provisions added to the FAR in April 2025,Claude 3,Citations,No,
4,Cybersecurity provisions added to the FAR in April 2025,Claude 3,Break into Parts,No,
4,Cybersecurity provisions added to the FAR in April 2025,Gemini 1.5,None,No,
4,Cybersecurity provisions added to the FAR in April 2025,Gemini 1.5,Disclaimer,No,
4,Cybersecurity provisions added to the FAR in April 2025,Gemini 1.5,Citations,No,
4,Cybersecurity provisions added to the FAR in April 2025,Gemini 1.5,Break into Parts,No,
5,GSA’s SmartAward System automates invoice validation,Claude 3,None,Yes,
5,GSA’s SmartAward System automates invoice validation,Claude 3,Disclaimer,Yes,
5,GSA’s SmartAward System automates invoice validation,Claude 3,Citations,No,
5,GSA’s SmartAward System automates invoice validation,Claude 3,Break into Parts,No,
5,GSA’s SmartAward System automates invoice validation,Gemini 1.5,None,No,
5,GSA’s SmartAward System automates invoice validation,Gemini 1.5,Disclaimer,No,
5,GSA’s SmartAward System automates invoice validation,Gemini 1.5,Citations,No,
5,GSA’s SmartAward System automates invoice validation,Gemini 1.5,Break into Parts,No,
